Date,Ticker,Country,Type,Qty,Price,Currency
2024-07-22,FLUOROCHEM.NS,IND,SELL,151,3231.45,INR
2024-07-22,IDFC.NS,IND,SELL,3220,114.15,INR
2024-07-22,INDOSTAR.NS,IND,SELL,155,243.62,INR
2024-07-22,IWEL.NS,IND,SELL,11,7618.45,INR
2024-07-22,LINC.NS,IND,SELL,375,601.33,INR
2024-07-22,LINCOLN.NS,IND,SELL,250,624.02,INR
2024-07-22,M&MFIN.NS,IND,SELL,500,291.13,INR
2024-07-22,MASTEK.NS,IND,SELL,85,2646.74,INR
2024-07-22,METROBRAND.NS,IND,SELL,81,1314.16,INR
2024-07-22,NAVINFLUOR.NS,IND,SELL,70,3562.09,INR
2024-07-22,NEULANDLAB.NS,IND,SELL,39,8357.65,INR
2024-07-22,OMINFRAL.NS,IND,SELL,1240,165.31,INR
2024-07-22,PCBL.NS,IND,SELL,728,279.32,INR
2024-07-22,QUESS.NS,IND,SELL,225,612.92,INR
2024-07-22,RADICO.NS,IND,SELL,204,1675.58,INR
2024-07-22,RAYMOND.NS,IND,SELL,71,1986.3,INR
2024-07-22,ROUTE.NS,IND,SELL,136,1730.33,INR
2024-07-22,SAFARI.NS,IND,SELL,95,2034.96,INR
2024-07-22,SANGAMIND.NS,IND,SELL,129,397.67,INR
2024-07-22,SARDAEN.NS,IND,SELL,835,272.91,INR
2024-07-22,SCHNEIDER.NS,IND,SELL,238,780.36,INR
2024-07-22,SHAILY.NS,IND,SELL,499,864.13,INR
2024-07-22,SBCL.NS,IND,SELL,589,637.9,INR
2024-07-22,SHRIPISTON.NS,IND,SELL,95,1914.97,INR
2024-07-22,SKIPPER.NS,IND,SELL,255,354.18,INR
2024-07-22,STARHEALTH.NS,IND,SELL,307,590.11,INR
2024-07-22,SUDARSCHEM.NS,IND,SELL,174,906.84,INR
2024-07-22,TAALENT.BO,IND,SELL,64,2924.5,INR
2024-07-22,TMPV.NS,IND,SELL,130,1002.18,INR
2024-07-22,TEJASNET.NS,IND,SELL,263,1361.09,INR
2024-07-22,TITAN.NS,IND,SELL,148,3260.23,INR
2024-07-22,TARIL.NS,IND,SELL,265,727.6,INR
2024-07-22,VAIBHAVGBL.NS,IND,SELL,347,311.72,INR
2024-09-24,RAYMONDLSL.BO,IND,SELL,56,2450.0,INR
2025-12-02,GROWWRAIL.NS,IND,BUY,740,33.73,INR
2025-12-02,MOREALTY.NS,IND,BUY,279,89.32,INR
2025-12-03,MODEFENCE.NS,IND,BUY,290,85.72,INR
2025-12-05,GROWWRAIL.NS,IND,SELL,740,33.31,INR
2025-12-05,MOREALTY.NS,IND,SELL,279,89.2,INR
2025-12-05,MODEFENCE.NS,IND,SELL,290,86.31,INR
